,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,11th Most Common Venue,12th Most Common Venue,13th Most Common Venue,14th Most Common Venue,15th Most Common Venue,16th Most Common Venue,17th Most Common Venue,18th Most Common Venue,19th Most Common Venue,20th Most Common Venue
47,Narasipura,13.110049900000002,77.4630552,1,Platform,Tourist Information Center,Cosmetics Shop,Eastern European Restaurant,Flower Shop,Flea Market,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant,Electronics Store,Donut Shop,Creperie,Food & Drink Shop,Diner,Dhaba,Dessert Shop,Department Store
48,Nayandahalli,12.9454012,77.5278104,4,Ice Cream Shop,Indian Restaurant,Fast Food Restaurant,Fried Chicken Joint,Park,Golf Course,Food Court,Coffee Shop,Pizza Place,Clothing Store,Café,Miscellaneous Shop,Restaurant,Road,Sandwich Place,Seafood Restaurant,Breakfast Spot,Smoke Shop,Boxing Gym,Auto Garage
49,Panathur,12.9351457,77.7047541,4,Indian Restaurant,Café,Ice Cream Shop,BBQ Joint,Pizza Place,Coffee Shop,Gym,Hotel,Andhra Restaurant,Food Court,Athletics & Sports,Fruit & Vegetable Store,Vegetarian / Vegan Restaurant,Furniture / Home Store,Electronics Store,Fast Food Restaurant,Recreation Center,Gastropub,Farmers Market,Food
50,Peenya Dasarahalli,13.0330189,77.533201,4,Mediterranean Restaurant,Train Station,Bus Station,Light Rail Station,Punjabi Restaurant,Spa,Restaurant,Food Court,Indian Restaurant,Fast Food Restaurant,Coffee Shop,Hotel,Seafood Restaurant,Bar,Field,Farmers Market,Farm,Falafel Restaurant,Electronics Store,Yoga Studio
51,Rajanakunte,13.169190099999998,77.56394420000001,4,Café,Hotel,Cupcake Shop,Resort,Restaurant,Donut Shop,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant,Electronics Store,Eastern European Restaurant,Yoga Studio,Diner,Dhaba,Flower Shop,Dessert Shop,Department Store
52,Rameshwara,12.99365815,77.5678621969321,4,Indian Restaurant,Ice Cream Shop,Vegetarian / Vegan Restaurant,Café,Fast Food Restaurant,Clothing Store,Coffee Shop,Bakery,Donut Shop,Hotel,Art Gallery,Karnataka Restaurant,South Indian Restaurant,Chinese Restaurant,Pizza Place,Department Store,Breakfast Spot,Electronics Store,Arcade,Sandwich Place
53,Sadashivanagar,13.0077079,77.5795893,4,Indian Restaurant,Ice Cream Shop,Vegetarian / Vegan Restaurant,Café,Coffee Shop,Department Store,Restaurant,South Indian Restaurant,Chinese Restaurant,Dessert Shop,Gym,Hotel,Flea Market,Performing Arts Venue,Bus Station,Pub,Camera Store,Plaza,Women's Store,Chaat Place
54,Shivakote,13.1345489,77.5134137,0,Breakfast Spot,Lake,Yoga Studio,Falafel Restaurant,Food,Flower Shop,Flea Market,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Farm,Electronics Store,Food Court,Eastern European Restaurant,Donut Shop,Diner,Dhaba,Dessert Shop,Department Store
55,Singanayakanahalli,13.1478621,77.5693207,4,Café,Hotel,Indian Restaurant,Mattress Store,Eastern European Restaurant,Flower Shop,Flea Market,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant,Electronics Store,Donut Shop,Food & Drink Shop,Diner,Dhaba,Dessert Shop,Department Store
56,Subramanyapura,12.8839705,77.54121140000001,3,Indian Restaurant,South Indian Restaurant,Trail,Eastern European Restaurant,Food,Flower Shop,Flea Market,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant,Electronics Store,Yoga Studio,Food & Drink Shop,Diner,Dhaba,Dessert Shop,Department Store
57,Sulikere,12.9389629,77.4475916,0,IT Services,Lake,Electronics Store,Food,Flower Shop,Flea Market,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant,Yoga Studio,Food & Drink Shop,Donut Shop,Diner,Dhaba,Dessert Shop,Department Store,Deli / Bodega
58,Tarabanahalli,13.190570800000001,77.627882,3,Resort,Food Truck,Indian Restaurant,Yoga Studio,Eastern European Restaurant,Flea Market,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant,Electronics Store,Diner,Donut Shop,Food,Dhaba,Dessert Shop,Department Store,Deli / Bodega
59,Tavarekere S.O (Bangalore),12.963694,77.40142390000001,4,Pizza Place,Watch Shop,Farm,Organic Grocery,Scenic Lookout,Donut Shop,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store,Eastern European Restaurant,Dhaba,Diner,Flower Shop,Dessert Shop,Department Store,Deli / Bodega,Dance Studio
60,Thalaghattapura,12.869816900000002,77.5356688,3,Indian Restaurant,Lounge,Trail,Supermarket,Yoga Studio,Electronics Store,Flower Shop,Flea Market,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant,Donut Shop,Eastern European Restaurant,Food & Drink Shop,Diner,Dhaba,Dessert Shop
61,Thippasandra,12.973936,77.6509982,4,Indian Restaurant,Café,Ice Cream Shop,Pub,Brewery,Restaurant,Asian Restaurant,Chinese Restaurant,Pizza Place,Bar,Cupcake Shop,Middle Eastern Restaurant,Lounge,Burger Joint,Karnataka Restaurant,Italian Restaurant,Boutique,Spa,Cocktail Bar,BBQ Joint
62,Vidyaranyapura,13.076640699999999,77.55773149999999,4,Indian Restaurant,Bus Station,Ice Cream Shop,Gym,Coffee Shop,Dessert Shop,Café,Pizza Place,Grocery Store,Gym Pool,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant,Electronics Store,Eastern European Restaurant,Gym / Fitness Center,Donut Shop,Diner,Gourmet Shop
63,Vijayanagar S.O (Bangalore),12.9718886,77.5457888388713,3,Indian Restaurant,Bakery,Coffee Shop,Pizza Place,Fast Food Restaurant,Café,Miscellaneous Shop,Smoke Shop,Shopping Mall,Breakfast Spot,Burger Joint,Ice Cream Shop,Chinese Restaurant,Department Store,Gym Pool,Pharmacy,Multiplex,Food Truck,Snack Place,Asian Restaurant
64,Vimanapura,12.96218,77.6635462,3,Indian Restaurant,Café,Fast Food Restaurant,Pizza Place,Restaurant,Bar,Hotel,Coffee Shop,Food Truck,Korean Restaurant,Spa,Karnataka Restaurant,Sports Bar,French Restaurant,Nightclub,Middle Eastern Restaurant,Shopping Mall,Bus Station,Farmers Market,Juice Bar
65,Yelachenahalli,12.897971,77.57008459999999,4,Indian Restaurant,Ice Cream Shop,Breakfast Spot,Café,Department Store,Vegetarian / Vegan Restaurant,South Indian Restaurant,Pizza Place,Fast Food Restaurant,Burger Joint,Shopping Mall,Chinese Restaurant,Market,Boarding House,Middle Eastern Restaurant,Food Truck,Chaat Place,Eastern European Restaurant,General Entertainment,Coffee Shop
66,Yelahanka,13.100698199999998,77.5963454,4,Café,American Restaurant,Ice Cream Shop,Food Truck,Clothing Store,Dessert Shop,Diner,Resort,Smoke Shop,Convenience Store,Vegetarian / Vegan Restaurant,Train Station,Gym,Indian Restaurant,Grocery Store,Farmers Market,Farm,Falafel Restaurant,Electronics Store,Eastern European Restaurant
